"Recipient Company","Parent Company","Award Date","Award Type","Grant Amount","Face Loan Amount","Awarding Agency","Program Name","Award Details","Data Source for Award","Facility Name","Facility State","Facility City","Notes","Ownership Structure","Stock Ticker Symbol","Parent Headquarters State","Parent Headquarters Country","Parent Sector","Parent Industry","Parent Total Workforce at end of 2019","Parent Latest Workforce Size","Parent Employment-related Penalties Since 2010","Parent Federal Corporate Income Tax Rate","Parent Total Federal State and Local Subsidies Since 2010","Parent Government-contracting-related Penalties Since 2010","Parent Environmental / Healthcare / Safety Penalties Since 2010","Parent Consumer Protection / Financial / Competition-related Penaties Since 2010","Parent Ratio of CEO Pay to that of Average Worker","CEO Pay","Median Worker Pay","Parent TARP Loans Received During Financial Crisis"
"Advanced Radiology Pa","Advanced Radiology Pa","20200506","grant","$3986616","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Massachusetts","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Advanced Radiology Services Pc","Advanced Radiology Services Pc","20200506","grant","$1111410","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Advanced Spine And Pain Llc","Advanced Spine And Pain Llc","20200506","grant","$577041","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Advanced Urology Associates Sc","Advanced Urology Associates Sc","20200506","grant","$540223","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Illinois","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Advanced Urology Institute","Advanced Urology Institute","20200506","grant","$2972370","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Advanced Vascular Associates","Advanced Vascular Associates","20200506","grant","$546212","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Advantagecare Physicians Pc","Advantagecare Physicians Pc","20200506","grant","$816312","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Advanzeon Solutions Inc.","Advanzeon Solutions Inc.","20200423","loan","$0","$1243840","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/22872/000173112220000408/e1880_8k.htm",""," ","","","publicly traded","CHCR","Florida","USA","healthcare services","managed care","2","0","0","","0","0","0","0","","$330041","$0","0"
"AdventHealth Altamonte Springs (FKA Florida Hospital Altamonte)","AdventHealth Altamonte Springs (FKA Florida Hospital Altamonte)","20200508","grant","$40466100","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","Florida","USA","healthcare services","hospitals","0","0","0","","0","0","0","0","","$0","$0","0"
"Adventist Health Clearlake Hospital Inc.","Adventist Health","20200506","grant","$1979648","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Adventist Health Medical Center Tehachapi","Adventist Health","20200506","grant","$564414","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Adventist Health Physicians Network","Adventist Health","20200506","grant","$1799710","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Castle Medical Center","Adventist Health (West)","20200506","grant","$3286590","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","California","USA","healthcare services","hospitals","0","0","0","","0","14100000","10734","0","","$0","$0","0"
"Adventist Health Glendale (FKA Glendale Adventist Medical Center)","Adventist Health Glendale (FKA Glendale Adventist Medical Center)","20200508","grant","$20139139","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","California","USA","healthcare services","hospitals","0","0","0","","0","0","0","0","","$0","$0","0"
"Adventist Healthcare","Adventist Healthcare","20200506","grant","$15792312","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Maryland","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Adventist HealthCare White Oak Medical Center","Adventist Healthcare","20200508","grant","$9391045","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","Maryland","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Adventist Healthcare Fort Washington Medical Center Inc","Adventist Healthcare Fort Washington Medical Center Inc","20200506","grant","$1185304","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Maryland","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Adventist Home Health Services Inc","Adventist Home Health Services Inc","20200506","grant","$1216908","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Maryland","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Adventist Rehabilitation Hospital Of Maryland Inc","Adventist Rehabilitation Hospital Of Maryland Inc","20200506","grant","$1699350","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Maryland","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Advocare Llc","Advocare Llc","20200506","grant","$1800871","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Advocate Christ Medical Center","Advocate Christ Medical Center","20200508","grant","$45413936","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","Illinois","USA","healthcare services","hospitals","0","0","0","","0","0","0","0","","$0","$0","0"
"Advocate Condell Medical Center","Advocate Health Care","20200508","grant","$12271100","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","Illinois","USA","healthcare services","hospitals","0","0","7500000","","0","3000000","317660","5550000","","$0","$0","0"
"Advocate Lutheran General Hospital","Advocate Health Care","20200508","grant","$17775467","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","Illinois","USA","healthcare services","hospitals","0","0","7500000","","0","3000000","317660","5550000","","$0","$0","0"
"Advocate South Suburban Hospital","Advocate Health Care","20200508","grant","$15634453","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","Illinois","USA","healthcare services","hospitals","0","0","7500000","","0","3000000","317660","5550000","","$0","$0","0"
"Advocate Trinity Hospital","Advocate Health Care","20200508","grant","$12154690","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","Illinois","USA","healthcare services","hospitals","0","0","7500000","","0","3000000","317660","5550000","","$0","$0","0"
"Aegis Sciences Corporation","Aegis Sciences Corporation","20200506","grant","$3214105","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Kentucky","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Aehr Test Systems","Aehr Test Systems","20200423","loan","$0","$1678789","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1040470/000165495420004538/aehr_8k.htm",""," ","","","publicly traded","AEHR","California","USA","industrial equipment","testing equipment","79","0","0","","0","0","0","0","","$480929","$0","0"
"Aeroflow Inc.","Aeroflow Inc.","20200506","grant","$678899","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Michigan","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Affiliated Hospitalists Plc","Affiliated Hospitalists Plc","20200506","grant","$574978","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Arizona","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
